"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"Gabriel Pereira","female",18,"urban","more than 3","living apart","higher","higher","at_home","teacher","course","mother","15-30 min","2-5 hours",0,"yes","no","no","no","yes","yes","no","no","high","average","high","very low","very low","average",6,5,6,6
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary","primary","at_home","other","course","father","0-15 min","2-5 hours",0,"no","yes","no","no","no","yes","yes","no","very high","average","average","very low","very low","average",4,5,5,6
"Gabriel Pereira","female",15,"urban","less or equal to 3","living together","primary","primary","at_home","other","other","mother","0-15 min","2-5 hours",3,"yes","no","yes","no","yes","yes","yes","no","high","average","low","low","average","average",10,7,8,10
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","primary higher","health","services","home","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","average","low","low","very low","very low","very good",2,15,14,15
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","secondary","other","other","home","father","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","no","no","high","average","low","very low","low","very good",4,6,10,10
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","higher","secondary","services","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","high","low","very low","low","very good",10,15,15,15
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary higher","primary higher","other","other","home","mother","0-15 min","2-5 hours",0,"no","no","no","no","yes","yes","yes","no","high","high","high","very low","very low","average",0,12,12,11
"Gabriel Pereira","female",17,"urban","more than 3","living apart","higher","higher","other","teacher","home","mother","15-30 min","2-5 hours",0,"yes","yes","no","no","yes","yes","no","no","high","very low","high","very low","very low","very bad",6,6,5,6
"Gabriel Pereira","male",15,"urban","less or equal to 3","living apart","secondary","primary higher","services","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","low","low","very low","very low","very bad",0,16,18,19
"Gabriel Pereira","male",15,"urban","more than 3","living together","secondary","higher","other","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","very high","very low","very low","very low","very good",0,14,15,15
